name,logo,mitra_brand_name,location,link
DES - Human Resource Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/bfd4809b-00c6-11ef-ac63-7e456e52b7d0
HR - Human Resource Operational,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/883f4015-00c5-11ef-9733-ca7bef2c0196
HR - Human Resource Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/2bd177cc-00c5-11ef-ba24-e26d212b611d
HRDIP - HR Expertise Creative,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/5e2d524e-fe1c-11ee-bcd1-e26d212b611d
Human Resource ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/1faf6eaa-fd31-11ee-877d-ee833f3bb5c3
Human Resource,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kab. Deli Serdang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/35e1ee44-fd2a-11ee-b3c3-42bfe4d30846
Talent Acquisition,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c48811fd-b4a4-478c-b09e-50c60a43d9e3.png,Gold Coin Group - Aboitiz Company,Kota Bekasi,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/fa33d5bb-586b-4d2a-aba5-dddabdbc2da7/78c507f0-0232-11ef-866a-bae8047c8e7e
HR Admin,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_afb46318-1ade-4bb4-bcd1-4d45a3645fc6.jpg,KidZania Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a92c77a0-e1ac-46f5-b0a4-fd50a7d62cf2/918ef546-035e-11ef-9b3e-022ae5f04a49
ULIP Human Resources ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a3978895-eede-4ec7-b6a2-fdec247e0242.png,Unilever Indonesia,Kab. Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d51cb5a8-0ee1-4eab-8ae1-5c0316aae0b1/2f8f1390-f261-11ee-af0a-42786e9b30fb
Talent Acquisition Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_25022063-85e1-406f-8eaa-0753267eca7b.png,RedDoorz,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9af2f24b-f9c4-4597-8f85-dd83dacba8ad/f804936d-dd20-11ee-b409-fe85c7b3fe0e
