name,logo,mitra_brand_name,location,link
IT Security Engineer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1b94e334-4d0e-4e4b-bcdb-a256cb222dcc.png,Dinas Komunikasi Dan Informatika Kota Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/51665208-17b5-4d3f-9c08-9beb98e8a1e0/2a199bc7-f008-11ee-9c51-1aff99471513
Data Scientist,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1b94e334-4d0e-4e4b-bcdb-a256cb222dcc.png,Dinas Komunikasi Dan Informatika Kota Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/51665208-17b5-4d3f-9c08-9beb98e8a1e0/8dbbfa6d-ecd8-11ee-92bb-b27cd062ba27
Software Developer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1b94e334-4d0e-4e4b-bcdb-a256cb222dcc.png,Dinas Komunikasi Dan Informatika Kota Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/51665208-17b5-4d3f-9c08-9beb98e8a1e0/b77c49d9-ecdf-11ee-bb69-32b7bdeb41bc
Web Design & Programmer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1b94e334-4d0e-4e4b-bcdb-a256cb222dcc.png,Dinas Komunikasi Dan Informatika Kota Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/51665208-17b5-4d3f-9c08-9beb98e8a1e0/2f295c4a-f25c-11ee-af0a-42786e9b30fb
News Developer (Reporter),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_98feafb5-f176-4380-a889-d8e15cf206f0.png,CNN Indonesia,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6b1b47ca-6a3d-4809-80df-4f2b193c7622/c6ce4a26-f1aa-11ee-bf75-32cfa9fc582e
UI/UX Designer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_98feafb5-f176-4380-a889-d8e15cf206f0.png,CNN Indonesia,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6b1b47ca-6a3d-4809-80df-4f2b193c7622/04e25296-f242-11ee-af0a-42786e9b30fb
IT Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_98feafb5-f176-4380-a889-d8e15cf206f0.png,CNN Indonesia,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6b1b47ca-6a3d-4809-80df-4f2b193c7622/c4698f25-f19c-11ee-bf75-32cfa9fc582e
Data Administration Sales,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d59ec7a6-0080-4ce5-8d7c-6cea420a4766.png,Dibimbing.id,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cf7381d-d7bb-4095-b0db-3d7e5e858e28/109a1104-f816-11ee-b72a-0643309c1117
Quality Assurance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d59ec7a6-0080-4ce5-8d7c-6cea420a4766.png,Dibimbing.id,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cf7381d-d7bb-4095-b0db-3d7e5e858e28/53b97a24-f820-11ee-9129-da28f9df4d8d
IT Staff,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d59ec7a6-0080-4ce5-8d7c-6cea420a4766.png,Dibimbing.id,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cf7381d-d7bb-4095-b0db-3d7e5e858e28/a0761d39-f89a-11ee-af0a-42786e9b30fb
UI/UX Design,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d59ec7a6-0080-4ce5-8d7c-6cea420a4766.png,Dibimbing.id,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cf7381d-d7bb-4095-b0db-3d7e5e858e28/d258135b-f829-11ee-b72a-0643309c1117
Product Manager IT,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d59ec7a6-0080-4ce5-8d7c-6cea420a4766.png,Dibimbing.id,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6cf7381d-d7bb-4095-b0db-3d7e5e858e28/843c6e67-f828-11ee-af0a-42786e9b30fb
FIF - Data Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/916b47fd-fdfe-11ee-865e-fae64678b8c1
FIF - Compliance Data Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/1ecb5e90-fd37-11ee-865e-fae64678b8c1
Asuransi Astra - UI/UX Designer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/3665847b-f318-11ee-bf75-32cfa9fc582e
MODA – System Analyst Intern ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/1e425fc1-f330-11ee-af0a-42786e9b30fb
ADM-Digitalization Internship Program (CIT_Corp.Information Technology),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/49c8ae5e-f2f7-11ee-9129-da28f9df4d8d
