name,logo,mitra_brand_name,location,link
Accounting Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_793c4164-8702-4ff1-bf69-698e59903b52.jpg,PFI Mega Life,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/73b26f80-6308-4249-8738-cec24fc16f00/81ff8786-efd0-11ee-9c51-1aff99471513
Share Service Accounting Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_50747a6b-6962-4e51-bfa6-406c27ebc6b6.png,Telkomsel,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/1ae425fb-fc8e-11ee-a0c9-42fbd8755c1a
Accounting / Finance,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ef399acf-107a-4197-890f-1d29e680174a.png,Healthy One (Pharos and Century Group),Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/4a8b9565-6c7e-4049-938c-910d122b58bc/1717446b-e677-11ee-ac27-32063028c0d6
Finance Management Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7b4cf1bc-fda4-474a-ac57-d39152fe9eb4.png,Bina Pertiwi,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/875396aa-69e1-41cd-853c-b6208ecaf707/37de73e9-fd5b-11ee-865e-fae64678b8c1
Accounting Management & Digitalization Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7b4cf1bc-fda4-474a-ac57-d39152fe9eb4.png,Bina Pertiwi,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/875396aa-69e1-41cd-853c-b6208ecaf707/e0532c54-fd68-11ee-865e-fae64678b8c1
Asset & Treasury Officer - Jakarta (Head Office),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,ASSA,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/631c1888-6d99-43db-bfff-086dafc150c3/57d458ea-fb9e-11ee-9a82-aefdf7a5c1a0
Finance Officer - Jakarta (Head Office),https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_e9d9b6c8-552b-47fd-a9da-24b9557bb28b.png,ASSA,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/631c1888-6d99-43db-bfff-086dafc150c3/0ff1385c-fb9e-11ee-828e-bacafdd728b8
"Finance, HR, Procurement ",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_43e70794-bbe5-4eea-a4a5-3a6a06b8797b.png,Link Productive,Kota Cilegon & Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0ee95778-edd5-4499-9258-6dbbc8e55a9a/9c6bafc3-dcf5-11ee-9fa7-1e338b798a67
Accounting System SIMRS ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_9e037f35-83aa-41e0-a050-b4aad76d38e1.png,Zen Multimedia,Kab. Purwakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/be94c64c-4fdf-40a6-8d59-362202a6a728/ba28c438-f3c2-11ee-af0a-42786e9b30fb
Treasury Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d898d9bc-b3f6-4312-8348-c030308332e7.png,Hangry Indonesia,Kota Jakarta Barat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f4b6d185-c687-46e2-9c94-77bfdaafa3a5/48734bc6-f15f-11ee-9129-da28f9df4d8d
